Date_collected,Species,Sex,Weight,month,day,year,julian_day,Plot
1/8,PF,M,7,1,8,2015,8,3
2/18,OT,M,24,2,18,2015,49,3
2/19,OT,F,23,2,19,2015,50,3
3/11,NA,M,232,3,11,2015,70,3
3/11,OT,F,22,3,11,2015,70,3
3/11,OT,M,26,3,11,2015,70,3
3/11,PF,M,8,3,11,2015,70,3
4/8,NA,F,,4,8,2015,98,3
5/6,,,,5,6,2015,126,3
5/18,NA,F,182,5,18,2015,138,3
6/9,OT,F,29,6,9,2015,160,3
7/8,NA,F,115,7,8,2015,189,3
7/8,NA,M,190,7,8,2015,189,3
